model,idx,mechanism,note,differing_columns_seed1
bytedance-seed/seed-2.0-code,17,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,std_review_score,num_reviews,one_star_share,review_recency_days,has_reviews"
bytedance-seed/seed-2.0-code,19,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score_w1,num_reviews_w1,share_positive_reviews_w1,avg_review_score_history,total_reviews_history"
deepseek/deepseek-v4-flash-0731,25,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,review_count,high_review_ratio"
deepseek/deepseek-v4-flash-0731,22,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,count_reviews"
deepseek/deepseek-v4-flash-0731,33,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","count_review,avg_review"
deepseek/deepseek-v4-flash-0731,32,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,review_count"
deepseek/deepseek-v4-flash-0731,30,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.",
deepseek/deepseek-v4-flash-0731,35,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score_all,review_count_all,avg_review_score_30d,review_count_30d,avg_review_score_60d,review_count_60d,avg_review_score_90d,review_count_90d"
deepseek/deepseek-v4-flash-0731,37,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_count,avg_review_score,std_review_score,pos_review_count,pos_review_ratio"
deepseek/deepseek-v4-flash-0731,39,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,total_reviews,review_count_per_order"
bytedance-seed/seed-2.0-code,33,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_7d,num_reviews_7d,avg_review_30d,num_reviews_30d,avg_review_90d,num_reviews_90d,avg_review_180d,num_reviews_180d,avg_review_all,num_reviews_all"
deepseek/deepseek-v4-flash-0731,4,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,count_reviews,std_review_score,min_review_score,max_review_score"
bytedance-seed/seed-2.0-code,26,GENERATION_ARTIFACT,"finish_reason=length, код физически неполный (обрывается на ""delivery_grouped = pd.DataFrame"" без return); на синтетических данных full и trunc оба дают None; на реальных данных, судя по detail={} на всех 3 сидах, full/trunc расходятся не как значения признаков, а как None-vs-DataFrame (вероятно, из-за неустойчивости незавершённого кода). НЕ является механизмом чтения будущего -- артефакт оборванной генерации. Исключить из типологии; нужно решение автора, оставлять ли в корпусе.",
deepseek/deepseek-v4-flash-0731,47,VAR_MIXUP,"reviews и payments отфильтрованы по review_creation_date/ts корректно; утечка -- в отдельном агрегате seller_agg (avg_seller_price, n_sellers), который построен из СЫРОГО order_items вместо уже отфильтрованной по времени переменной items/order_product.","n_sellers,avg_seller_price"
deepseek/deepseek-v4-flash-0731,45,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,has_review_sum,review_rate"
deepseek/deepseek-v4-flash-0731,49,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,num_reviews,positive_reviews,positive_ratio"
deepseek/deepseek-v4-flash-0731,44,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score_7d,positive_review_ratio_7d,avg_review_score_30d,positive_review_ratio_30d,avg_review_score_90d,positive_review_ratio_90d,avg_review_score_alld,positive_review_ratio_alld"
deepseek/deepseek-v4-flash-0731,53,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,review_count"
deepseek/deepseek-v4-flash-0731,51,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,num_reviews"
deepseek/deepseek-v4-flash-0731,41,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.",avg_review_score
deepseek/deepseek-v4-flash-0731,44,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,count_reviews"
deepseek/deepseek-v4-flash-0731,52,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review,total_reviews,seller_avg_review,seller_review_count"
deepseek/deepseek-v4-flash-0731,54,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_count_all,avg_review_all,review_count_30,avg_review_30,review_count_60,avg_review_60,review_count_90,avg_review_90"
deepseek/deepseek-v4-flash-0731,52,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","win_7_rev_count,win_7_rev_mean,win_7_rev_high,win_30_rev_count,win_30_rev_mean,win_30_rev_high,win_90_rev_count,win_90_rev_mean,win_90_rev_high,win_180_rev_count,win_180_rev_mean,win_180_rev_high,win_365_rev_count,win_365_rev_mean,win_365_rev_high"
deepseek/deepseek-v4-flash-0731,56,PAYMENTS_NO_FILTER,reviews отфильтрованы по review_creation_date корректно; payments присоединяются БЕЗ фильтра по их собственному ts -- утечка в динамических payment_type_* колонках/суммах.,
deepseek/deepseek-v4-flash-0731,46,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_mean,review_count,positive_ratio"
deepseek/deepseek-v4-flash-0731,58,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,num_reviews"
deepseek/deepseek-v4-flash-0731,58,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_score_mean,review_score_count"
deepseek/deepseek-v4-flash-0731,55,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review,review_count,pos_review_count"
deepseek/deepseek-v4-flash-0731,61,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_mean_score,review_count"
deepseek/deepseek-v4-flash-0731,62,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,avg_review_count,avg_positive_ratio"
deepseek/deepseek-v4-flash-0731,63,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,std_review_score"
deepseek/deepseek-v4-flash-0731,64,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","mean_review,review_count,review_rate"
deepseek/deepseek-v4-flash-0731,64,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_cnt,review_avg,review_pos_rate,review_neg_rate"
deepseek/deepseek-v4-flash-0731,67,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,count_reviews,positive_review_ratio"
deepseek/deepseek-v4-flash-0731,43,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,review_count"
deepseek/deepseek-v4-flash-0731,72,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_mean,review_count"
deepseek/deepseek-v4-flash-0731,74,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_mean,review_mean_90"
deepseek/deepseek-v4-flash-0731,76,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review,review_count"
deepseek/deepseek-v4-flash-0731,75,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_rating,n_reviews,avg_rating_30d,n_reviews_30d,avg_rating_60d,n_reviews_60d,avg_rating_90d,n_reviews_90d,avg_rating_180d,n_reviews_180d"
deepseek/deepseek-v4-flash-0731,71,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,num_reviews"
deepseek/deepseek-v4-flash-0731,76,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","total_reviews,avg_review_score"
deepseek/deepseek-v4-flash-0731,78,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,num_reviews"
deepseek/deepseek-v4-flash-0731,77,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","review_avg,review_cnt,review_avg_90d,review_cnt_90d"
deepseek/deepseek-v4-flash-0731,78,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,count_reviews,neg_review_count"
deepseek/deepseek-v4-flash-0731,79,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,n_reviews,pct_positive_reviews"
deepseek/deepseek-v4-flash-0731,48,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.",avg_review_score
deepseek/deepseek-v4-flash-0731,79,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.",
bytedance-seed/seed-2.0-code,44,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","total_reviews,avg_review_score,std_review_score,review_response_rate"
bytedance-seed/seed-2.0-code,47,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score,min_review_score,frac_1star_reviews"
bytedance-seed/seed-2.0-code,58,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review_score_7d,total_reviews_7d,avg_pct_reviews_with_messages_7d,avg_days_to_review_7d,avg_review_score_14d,total_reviews_14d,avg_pct_reviews_with_messages_14d,avg_days_to_review_14d,avg_review_score_30d,total_reviews_30d,avg_pct_reviews_with_messages_30d,avg_days_to_review_30d,avg_review_score_90d,total_reviews_90d,avg_pct_reviews_with_messages_90d,avg_days_to_review_90d,avg_review_score_180d,total_reviews_180d,avg_pct_reviews_with_messages_180d,avg_days_to_review_180d,avg_review_score_all,total_reviews_all,avg_pct_reviews_with_messages_all,avg_days_to_review_all,has_reviews_7d,has_reviews_14d,has_reviews_30d,has_reviews_90d,has_reviews_180d,has_reviews_all"
bytedance-seed/seed-2.0-code,70,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","avg_review,total_reviews"
bytedance-seed/seed-2.0-code,78,REVIEWS_NO_FILTER,"order_items/orders отфильтрованы по своему времени корректно; reviews присоединяются (groupby/merge) без применения review_creation_date как отсечки -- ревью пишется в среднем на 10+ дней позже заказа (см. p3_baseline_run.py), поэтому будущие ревью протекают в признаки.","total_reviews,avg_review_score,min_review_score,max_review_score,std_review_score,frac_reviews_with_comment"
