dataset,table,column,availability_class,availability_column,boundary,checkability,confidence,operational_action
rel-stack,postHistory,UserDisplayName,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,ContentLicense,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,RevisionGUID,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,Text,row_time,CreationDate,inclusive,direct,high,use
rel-stack,postHistory,Comment,row_time,CreationDate,inclusive,direct,high,use
rel-event,user_friends,user,unknown,,unknown,uncheckable,high,exclude
rel-event,user_friends,friend,unknown,,unknown,uncheckable,high,exclude
rel-event,event_interest,user,row_time,timestamp,inclusive,direct,high,use
rel-event,event_interest,event,row_time,timestamp,inclusive,direct,high,use
rel-event,event_interest,timestamp,row_time,timestamp,inclusive,direct,high,use
rel-event,event_interest,invited,row_time,timestamp,inclusive,direct,high,use
rel-event,event_interest,interested,row_time,timestamp,inclusive,direct,high,use
rel-event,event_interest,not_interested,row_time,timestamp,inclusive,direct,high,use
rel-event,event_attendees,event,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,event_attendees,user_id,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,event_attendees,start_time,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,event_attendees,status,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,users,user_id,row_time,joinedAt,inclusive,direct,high,use
rel-event,users,joinedAt,row_time,joinedAt,inclusive,direct,high,use
rel-event,users,birthyear,unknown,,unknown,uncheckable,medium,exclude
rel-event,users,timezone,unknown,,unknown,uncheckable,medium,exclude
rel-event,users,locale,unknown,,unknown,uncheckable,medium,exclude
rel-event,users,gender,unknown,,unknown,uncheckable,medium,exclude
rel-event,users,location,unknown,,unknown,uncheckable,medium,exclude
rel-event,events,event_id,row_time,start_time,inclusive,direct,high,use
rel-event,events,user_id,row_time,start_time,inclusive,direct,high,use
rel-event,events,start_time,row_time,start_time,inclusive,direct,high,use
rel-event,events,lat,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,lng,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_1,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_2,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_3,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_4,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_5,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_6,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_7,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_8,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_9,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_10,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_11,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_12,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_13,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_14,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_15,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_16,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_17,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_18,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_19,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_20,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_21,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_22,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_23,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_24,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_25,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_26,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_27,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_28,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_29,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_30,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_31,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_32,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_33,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_34,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_35,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_36,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_37,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_38,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_39,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_40,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_41,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_42,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_43,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_44,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_45,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_46,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_47,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_48,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_49,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_50,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_51,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_52,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_53,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_54,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_55,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_56,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_57,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_58,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_59,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_60,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_61,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_62,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_63,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_64,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_65,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_66,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_67,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_68,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_69,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_70,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_71,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_72,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_73,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_74,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_75,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_76,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_77,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_78,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_79,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_80,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_81,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_82,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_83,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_84,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_85,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_86,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_87,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_88,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_89,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_90,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_91,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_92,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_93,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_94,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_95,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_96,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_97,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_98,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_99,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_100,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,c_other,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,city,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,state,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,zip,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
rel-event,events,country,row_time,start_time,inclusive,proxy,low,use_with_proxy_flag
