item_id,dataset,table,column,data_type,role,table_time_col,availability_class,availability_column,boundary,mutable,checkability,confidence,rationale,operational_action
rel-stack:016,rel-stack,users,Location,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:017,rel-stack,users,WebsiteUrl,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:018,rel-stack,users,AboutMe,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:019,rel-stack,comments,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:020,rel-stack,comments,PostId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:021,rel-stack,comments,UserId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:022,rel-stack,comments,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:023,rel-stack,comments,ContentLicense,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:024,rel-stack,comments,UserDisplayName,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:025,rel-stack,comments,Text,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:026,rel-stack,posts,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:027,rel-stack,posts,OwnerUserId,key,key,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:028,rel-stack,posts,ParentId,key,key,CreationDate,row_time,CreationDate,inclusive,no,proxy,medium,The structural post field is normally fixed at creation; no separate field timestamp is retained.,use_with_proxy_flag
rel-stack:029,rel-stack,posts,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:030,rel-stack,posts,PostTypeId,int,value,CreationDate,row_time,CreationDate,inclusive,no,proxy,medium,The structural post field is normally fixed at creation; no separate field timestamp is retained.,use_with_proxy_flag
rel-stack:031,rel-stack,posts,OwnerDisplayName,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:032,rel-stack,posts,Title,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:033,rel-stack,posts,Tags,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:034,rel-stack,posts,ContentLicense,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:035,rel-stack,posts,Body,str,value,CreationDate,unknown,,unknown,yes,uncheckable,high,"The retained value is a current mutable snapshot, but its field-level edit time was not retained.",exclude
rel-stack:036,rel-stack,postLinks,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:037,rel-stack,postLinks,RelatedPostId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:038,rel-stack,postLinks,PostId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:039,rel-stack,postLinks,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:040,rel-stack,postLinks,LinkTypeId,int,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:041,rel-stack,postHistory,Id,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:042,rel-stack,postHistory,PostId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:043,rel-stack,postHistory,UserId,key,key,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:044,rel-stack,postHistory,CreationDate,datetime,time,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:045,rel-stack,postHistory,PostHistoryTypeId,int,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:046,rel-stack,postHistory,UserDisplayName,str,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:047,rel-stack,postHistory,ContentLicense,str,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:048,rel-stack,postHistory,RevisionGUID,str,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:049,rel-stack,postHistory,Text,str,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-stack:050,rel-stack,postHistory,Comment,str,value,CreationDate,row_time,CreationDate,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-event:001,rel-event,user_friends,user,key,key,,unknown,,unknown,unknown,uncheckable,high,The table has no timestamp for creation or observation of this edge.,exclude
rel-event:002,rel-event,user_friends,friend,key,key,,unknown,,unknown,unknown,uncheckable,high,The table has no timestamp for creation or observation of this edge.,exclude
rel-event:003,rel-event,event_interest,user,key,key,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:004,rel-event,event_interest,event,key,key,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:005,rel-event,event_interest,timestamp,datetime,time,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:006,rel-event,event_interest,invited,int,value,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:007,rel-event,event_interest,interested,int,value,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:008,rel-event,event_interest,not_interested,int,value,timestamp,row_time,timestamp,inclusive,no,direct,high,The interaction record carries its own observation timestamp.,use
rel-event:009,rel-event,event_attendees,event,key,key,start_time,row_time,start_time,inclusive,no,proxy,low,Only event start is retained; it is used as a conservative proxy for RSVP/attendance-edge availability.,use_with_proxy_flag
rel-event:010,rel-event,event_attendees,user_id,key,key,start_time,row_time,start_time,inclusive,no,proxy,low,Only event start is retained; it is used as a conservative proxy for RSVP/attendance-edge availability.,use_with_proxy_flag
rel-event:011,rel-event,event_attendees,start_time,datetime,time,start_time,row_time,start_time,inclusive,no,proxy,low,Only event start is retained; it is used as a conservative proxy for RSVP/attendance-edge availability.,use_with_proxy_flag
rel-event:012,rel-event,event_attendees,status,str,value,start_time,row_time,start_time,inclusive,yes,proxy,low,Only event start is retained; it is used as a conservative proxy for RSVP/attendance-edge availability.,use_with_proxy_flag
rel-event:013,rel-event,users,user_id,key,key,joinedAt,row_time,joinedAt,inclusive,no,direct,high,User identity and join time are established by the user creation event.,use
rel-event:014,rel-event,users,joinedAt,datetime,time,joinedAt,row_time,joinedAt,inclusive,no,direct,high,User identity and join time are established by the user creation event.,use
rel-event:015,rel-event,users,birthyear,float,value,joinedAt,unknown,,unknown,yes,uncheckable,medium,The profile value may change and the dataset contains no field-level observation or edit time.,exclude
rel-event:016,rel-event,users,timezone,float,value,joinedAt,unknown,,unknown,yes,uncheckable,medium,The profile value may change and the dataset contains no field-level observation or edit time.,exclude
rel-event:017,rel-event,users,locale,str,value,joinedAt,unknown,,unknown,yes,uncheckable,medium,The profile value may change and the dataset contains no field-level observation or edit time.,exclude
rel-event:018,rel-event,users,gender,str,value,joinedAt,unknown,,unknown,yes,uncheckable,medium,The profile value may change and the dataset contains no field-level observation or edit time.,exclude
rel-event:019,rel-event,users,location,str,value,joinedAt,unknown,,unknown,yes,uncheckable,medium,The profile value may change and the dataset contains no field-level observation or edit time.,exclude
rel-event:020,rel-event,events,event_id,key,key,start_time,row_time,start_time,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-event:021,rel-event,events,user_id,key,key,start_time,row_time,start_time,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-event:022,rel-event,events,start_time,datetime,time,start_time,row_time,start_time,inclusive,no,direct,high,The value is part of the event record represented by the table time.,use
rel-event:023,rel-event,events,lat,float,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:024,rel-event,events,lng,float,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:025,rel-event,events,c_1,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:026,rel-event,events,c_2,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:027,rel-event,events,c_3,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:028,rel-event,events,c_4,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:029,rel-event,events,c_5,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:030,rel-event,events,c_6,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:031,rel-event,events,c_7,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:032,rel-event,events,c_8,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:033,rel-event,events,c_9,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:034,rel-event,events,c_10,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:035,rel-event,events,c_11,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:036,rel-event,events,c_12,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:037,rel-event,events,c_13,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:038,rel-event,events,c_14,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:039,rel-event,events,c_15,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:040,rel-event,events,c_16,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:041,rel-event,events,c_17,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:042,rel-event,events,c_18,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:043,rel-event,events,c_19,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:044,rel-event,events,c_20,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:045,rel-event,events,c_21,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:046,rel-event,events,c_22,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:047,rel-event,events,c_23,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:048,rel-event,events,c_24,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:049,rel-event,events,c_25,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:050,rel-event,events,c_26,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:051,rel-event,events,c_27,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:052,rel-event,events,c_28,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:053,rel-event,events,c_29,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:054,rel-event,events,c_30,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:055,rel-event,events,c_31,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:056,rel-event,events,c_32,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:057,rel-event,events,c_33,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:058,rel-event,events,c_34,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:059,rel-event,events,c_35,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:060,rel-event,events,c_36,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:061,rel-event,events,c_37,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:062,rel-event,events,c_38,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:063,rel-event,events,c_39,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:064,rel-event,events,c_40,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:065,rel-event,events,c_41,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:066,rel-event,events,c_42,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:067,rel-event,events,c_43,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:068,rel-event,events,c_44,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:069,rel-event,events,c_45,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:070,rel-event,events,c_46,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:071,rel-event,events,c_47,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:072,rel-event,events,c_48,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:073,rel-event,events,c_49,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:074,rel-event,events,c_50,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:075,rel-event,events,c_51,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:076,rel-event,events,c_52,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:077,rel-event,events,c_53,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:078,rel-event,events,c_54,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:079,rel-event,events,c_55,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:080,rel-event,events,c_56,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:081,rel-event,events,c_57,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:082,rel-event,events,c_58,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:083,rel-event,events,c_59,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:084,rel-event,events,c_60,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:085,rel-event,events,c_61,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:086,rel-event,events,c_62,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:087,rel-event,events,c_63,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:088,rel-event,events,c_64,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:089,rel-event,events,c_65,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:090,rel-event,events,c_66,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:091,rel-event,events,c_67,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:092,rel-event,events,c_68,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:093,rel-event,events,c_69,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:094,rel-event,events,c_70,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:095,rel-event,events,c_71,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:096,rel-event,events,c_72,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:097,rel-event,events,c_73,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:098,rel-event,events,c_74,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:099,rel-event,events,c_75,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:100,rel-event,events,c_76,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:101,rel-event,events,c_77,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:102,rel-event,events,c_78,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:103,rel-event,events,c_79,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:104,rel-event,events,c_80,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:105,rel-event,events,c_81,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:106,rel-event,events,c_82,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:107,rel-event,events,c_83,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:108,rel-event,events,c_84,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:109,rel-event,events,c_85,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:110,rel-event,events,c_86,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:111,rel-event,events,c_87,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:112,rel-event,events,c_88,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:113,rel-event,events,c_89,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
rel-event:114,rel-event,events,c_90,int,value,start_time,row_time,start_time,inclusive,yes,proxy,low,"Event start is a conservative proxy: metadata should be known by then, but edit history is absent.",use_with_proxy_flag
